SummonerName,Role,Kills,Deaths,Assists,KDA,CS,CS/min
Kolaltia,JUNGLE,25,5,12,7.4,214,6.91437802907916
Kolaltia,MIDDLE,41,17,18,6.875,466,11.535764569472434
Kolaltia,SUPPORT,0,5,16,3.2,36,1.2364052661705782
Kolaltia,TOP,10,9,4,1.5555555555555556,217,6.925531914893617
Kuroda el Bruto,ADC,17,28,14,2.2142857142857144,445,11.031358222369459
Kuroda el Bruto,MIDDLE,13,17,16,6.694444444444445,603,20.42075192854014
Kuroda el Bruto,SUPPORT,6,20,29,3.6262626262626263,70,2.5355384939567003
Kuroda el Bruto,TOP,10,14,12,3.142857142857143,472,14.157104694253357
Living Paradox,ADC,6,10,5,1.1,150,4.63678516228748
Living Paradox,JUNGLE,0,8,8,1.0,171,4.460869565217391
Living Paradox,SUPPORT,0,3,11,3.6666666666666665,38,1.314121037463977
Living Paradox,TOP,1,9,5,0.6666666666666666,152,4.4859813084112155
Taylor Swiftness,ADC,4,2,9,6.5,131,4.530259365994236
Taylor Swiftness,MIDDLE,6,10,6,1.2,154,4.760432766615146
Taylor Swiftness,SUPPORT,5,20,25,3.0101010101010104,55,1.537564960756218
lucjam,ADC,29,14,24,27.61904761904762,618,19.656436975000034
lucjam,JUNGLE,31,13,15,13.733333333333334,473,15.267388169904136
lucjam,MIDDLE,6,8,11,10.142857142857142,520,15.680516226036836
lucjam,SUPPORT,4,25,28,2.5,131,3.698815429708228
lucjam,TOP,13,20,9,2.4166666666666665,391,11.241073849769501
mikasa 7,ADC,43,25,12,6.85,695,20.724648319451457
mikasa 7,JUNGLE,47,32,39,14.977272727272727,835,25.709523317960986
mikasa 7,MIDDLE,16,21,15,2.8653846153846154,385,11.572236944684732
mikasa 7,SUPPORT,17,12,25,3.5,59,1.4496314496314495
mikasa 7,TOP,35,23,12,6.652777777777778,571,19.18258864591641
xLegenderx,JUNGLE,23,26,30,9.508333333333333,313,11.41036994655891
xLegenderx,MIDDLE,5,8,5,1.25,307,9.060501721593704
xLegenderx,SUPPORT,4,14,29,4.666666666666666,66,1.9830165334016823
xLegenderx,TOP,10,24,12,1.8041958041958042,442,12.519548417445062
